,overall degree,internal degree,external degree,symbol
11264,6,6,0,PXMP4
9217,48,0,48,VAPB
9218,58,3,55,VAPA
2053,8,5,3,EPHX2
10247,12,2,10,RIDA
55825,14,14,0,PECR
8729,5,0,5,GBF1
3098,14,2,12,HK1
3099,5,0,5,HK2
26,10,0,10,AOC1
30,28,23,5,ACAA1
3615,22,4,18,IMPDH2
4644,9,0,9,MYO5A
23078,1,0,1,VWA8
38,10,5,5,ACAT1
39,7,2,5,ACAT2
23600,3,3,0,AMACR
51762,1,0,1,RAB8B
51,8,6,2,ACOX1
84532,3,0,3,ACSS1
570,42,5,37,BAAT
65084,4,3,1,TMEM135
252995,13,13,0,FNDC5
51268,12,10,2,PIPOX
5189,54,5,49,PEX1
5190,10,6,4,PEX6
5191,16,8,8,PEX7
5192,15,9,6,PEX10
5193,47,15,32,PEX12
5194,18,14,4,PEX13
1610,10,7,3,DAO
5195,30,11,19,PEX14
71,40,3,37,ACTG1
3155,15,7,8,HMGCL
3156,3,1,2,HMGCR
91734,3,2,1,IDI2
3158,2,0,2,HMGCS2
10329,4,0,4,RXYLT1
122970,12,12,0,ACOT4
54363,5,5,0,HAO1
340061,14,2,12,STING1
4190,15,0,15,MDH1
8799,12,10,2,PEX11B
8800,2,2,0,PEX11A
219743,13,13,0,TYSND1
7265,23,0,23,TTC1
284273,9,9,0,PTGR3
56947,108,4,104,MFF
8309,6,5,1,ACOX2
8310,4,3,1,ACOX3
2168,4,0,4,FABP1
124,2,0,2,ADH1A
2180,2,0,2,ACSL1
2181,6,0,6,ACSL3
2182,6,2,4,ACSL4
83594,5,3,2,NUDT12
5264,31,9,22,PHYH
10901,9,8,1,DHRS4
9368,27,2,25,NHERF1
84129,5,4,1,ACAD11
4257,8,0,8,MGST1
6647,277,15,262,SOD1
57506,19,2,17,MAVS
9380,9,0,9,GRHPR
6648,30,8,22,SOD2
5289,3,0,3,PIK3C3
2224,12,2,10,FDPS
2744,8,2,6,GLS
189,48,7,41,AGXT
1727,64,0,64,CYB5R3
5824,82,59,23,PEX19
5825,14,8,6,ABCD3
9409,37,12,25,PEX16
5827,15,13,2,PXMP2
5828,4,2,2,PEX2
5826,13,6,7,ABCD4
6342,30,18,12,SCP2
5830,93,62,31,PEX5
54996,6,6,0,MTARC2
215,19,17,2,ABCD1
10455,14,7,7,ECI2
84188,13,9,4,FAR1
3295,20,9,11,HSD17B4
25824,16,7,9,PRDX5
224,17,16,1,ALDH3A2
225,5,5,0,ABCD2
5862,23,0,23,RAB2A
79594,18,0,18,MUL1
4843,10,8,2,NOS2
10478,6,5,1,SLC25A17
64757,3,1,2,MTARC1
11001,7,7,0,SLC27A2
8443,6,2,4,GNPAT
80125,163,1,162,CCDC33
3329,113,1,112,HSPD1
2819,7,0,7,GPD1
4358,3,2,1,MPV17
7431,250,3,247,VIM
23305,7,4,3,ACSL6
10005,12,7,5,ACOT8
57110,7,0,7,PLAAT1
92960,16,10,6,PEX11G
23334,6,0,6,SZT2
84263,4,0,4,HSDL2
83752,1,0,1,LONP2
8504,5,4,1,PEX3
94009,5,5,0,SERHL
91452,14,10,4,ACBD5
5443,17,0,17,POMC
51015,2,0,2,ISOC1
7498,1,0,1,XDH
10059,163,11,152,DNM1L
847,11,7,4,CAT
51024,55,29,26,FIS1
8528,6,4,2,DDO
3416,14,6,8,IDE
3417,32,7,25,IDH1
3418,6,2,4,IDH2
641371,7,5,2,ACOT1
8540,5,3,2,AGPS
857,22,1,21,CAV1
3422,7,2,5,IDI1
1373,3,0,3,CPS1
1891,28,15,13,ECH1
51555,6,2,4,PEX5L
3939,29,4,25,LDHA
84836,1,0,1,ABHD14B
1384,13,5,8,CRAT
9066,3,0,3,SYT7
10606,28,3,25,PAICS
55670,49,15,34,PEX26
375,27,3,24,ARF1
23417,10,7,3,MLYCD
25979,1,0,1,DHRS7B
134526,11,2,9,ACOT12
54658,1,0,1,UGT1A1
387,87,1,86,RHOA
11145,5,0,5,PLAAT3
10130,44,2,42,PDIA6
55187,2,0,2,VPS13D
1428,5,0,5,CRYM
54677,9,3,6,CROT
51097,3,0,3,SCCPDH
5019,4,0,4,OXCT1
10654,13,7,6,PMVK
55711,3,3,0,FAR2
84896,5,4,1,ATAD1
79777,16,0,16,ACBD4
373156,24,14,10,GSTK1
51110,2,0,2,LACTB2
1962,123,6,117,EHHADH
144811,3,2,1,LACC1
7086,11,2,9,TKT
5052,41,13,28,PRDX1
9665,7,1,6,MARF1
222659,8,7,1,PXT1
26061,9,4,5,HACL1
26063,14,7,7,DECR2
11215,9,0,9,AKAP11
50640,1,0,1,PNPLA8
59353,32,2,30,TMEM35A
10202,25,0,25,DHRS2
646625,1,0,1,URAD
5605,17,2,15,MAP2K2
51179,9,8,1,HAO2
23019,16,2,14,CNOT1
2539,4,2,2,G6PD
4591,73,5,68,TRIM37
4597,5,0,5,MVD
4598,9,5,4,MVK
51703,15,4,11,ACSL5
1528,8,0,8,CYB5A
23034,13,0,13,SAMD4A
